=== B13/B14 区线段 (x170-270, y95-255) ===
  (  259.20, 222.12)->(  259.20, 229.32)
  (  256.53, 238.05)->(  256.19, 237.88)
  (  256.19, 237.88)->(  255.67, 237.88)
  (  255.67, 237.88)->(  255.16, 238.05)
  (  255.16, 238.05)->(  254.81, 238.39)
  (  254.81, 238.39)->(  254.64, 238.74)
  (  254.64, 238.74)->(  254.47, 239.42)
  (  254.47, 239.42)->(  254.47, 239.94)
  (  254.47, 239.94)->(  254.64, 240.62)
  (  254.64, 240.62)->(  254.81, 240.97)
  (  254.81, 240.97)->(  255.16, 241.31)
  (  255.16, 241.31)->(  255.67, 241.48)
  (  255.67, 241.48)->(  256.01, 241.48)
  (  256.01, 241.48)->(  256.53, 241.31)
  (  256.53, 241.31)->(  256.70, 241.14)
  (  256.70, 241.14)->(  256.70, 239.94)
  (  256.70, 239.94)->(  256.01, 239.94)
  (  258.24, 241.48)->(  258.24, 237.88)
  (  258.24, 237.88)->(  260.30, 241.48)
  (  260.30, 241.48)->(  260.30, 237.88)
  (  262.01, 241.48)->(  262.01, 237.88)
  (  262.01, 237.88)->(  262.87, 237.88)
  (  262.87, 237.88)->(  263.38, 238.05)
  (  263.38, 238.05)->(  263.73, 238.39)
  (  263.73, 238.39)->(  263.90, 238.74)
  (  263.90, 238.74)->(  264.07, 239.42)
  (  264.07, 239.42)->(  264.07, 239.94)
  (  264.07, 239.94)->(  263.90, 240.62)
  (  263.90, 240.62)->(  263.73, 240.97)
  (  263.73, 240.97)->(  263.38, 241.31)
  (  263.38, 241.31)->(  262.87, 241.48)
  (  262.87, 241.48)->(  262.01, 241.48)
  (  190.80, 225.72)->(  205.20, 236.52)
  (  198.00, 225.72)->(  198.00, 204.12)
  (  199.36, 228.06)->(  199.36, 230.12)
  (  199.36, 229.09)->(  195.76, 229.09)
  (  195.76, 229.09)->(  196.27, 229.43)
  (  196.27, 229.43)->(  196.62, 229.78)
  (  196.62, 229.78)->(  196.79, 230.12)
  (  196.19, 213.82)->(  196.19, 215.88)
  (  196.19, 214.85)->(  192.59, 214.85)
  (  192.59, 214.85)->(  193.11, 215.19)
  (  193.11, 215.19)->(  193.45, 215.53)
  (  193.45, 215.53)->(  193.62, 215.88)
  (  193.24, 241.14)->(  193.76, 241.31)
  (  193.76, 241.31)->(  193.93, 241.48)
  (  193.93, 241.48)->(  194.10, 241.82)
  (  194.10, 241.82)->(  194.10, 242.34)
  (  194.10, 242.34)->(  193.93, 242.68)
  (  193.93, 242.68)->(  193.76, 242.85)
  (  193.76, 242.85)->(  193.42, 243.02)
  (  193.42, 243.02)->(  192.04, 243.02)
  (  192.04, 243.02)->(  192.04, 239.42)
  (  192.04, 239.42)->(  193.24, 239.42)
  (  193.24, 239.42)->(  193.59, 239.60)
  (  193.59, 239.60)->(  193.76, 239.77)
  (  193.76, 239.77)->(  193.93, 240.11)
  (  193.93, 240.11)->(  193.93, 240.45)
  (  193.93, 240.45)->(  193.76, 240.80)
  (  193.76, 240.80)->(  193.59, 240.97)
  (  193.59, 240.97)->(  193.24, 241.14)
  (  193.24, 241.14)->(  192.04, 241.14)
  (  197.53, 243.02)->(  195.47, 243.02)
  (  196.50, 243.02)->(  196.50, 239.42)
  (  196.50, 239.42)->(  196.16, 239.94)
  (  196.16, 239.94)->(  195.82, 240.28)
  (  195.82, 240.28)->(  195.47, 240.45)
  (  200.61, 240.62)->(  200.61, 243.02)
  (  199.76, 239.25)->(  198.90, 241.82)
  (  198.90, 241.82)->(  201.13, 241.82)
  (  210.04, 235.82)->(  210.04, 232.22)
  (  210.04, 232.22)->(  210.90, 232.22)
  (  210.90, 232.22)->(  211.42, 232.40)
  (  211.42, 232.40)->(  211.76, 232.74)
  (  211.76, 232.74)->(  211.93, 233.08)
  (  211.93, 233.08)->(  212.10, 233.77)
  (  212.10, 233.77)->(  212.10, 234.28)
  (  212.10, 234.28)->(  211.93, 234.97)
  (  211.93, 234.97)->(  211.76, 235.31)
  (  211.76, 235.31)->(  211.42, 235.65)
  (  211.42, 235.65)->(  210.90, 235.82)
  (  210.90, 235.82)->(  210.04, 235.82)
  (  215.70, 235.48)->(  215.53, 235.65)
  (  215.53, 235.65)->(  215.02, 235.82)
  (  215.02, 235.82)->(  214.67, 235.82)
  (  214.67, 235.82)->(  214.16, 235.65)
  (  214.16, 235.65)->(  213.82, 235.31)
  (  213.82, 235.31)->(  213.64, 234.97)
  (  213.64, 234.97)->(  213.47, 234.28)
  (  213.47, 234.28)->(  213.47, 233.77)
  (  213.47, 233.77)->(  213.64, 233.08)
  (  213.64, 233.08)->(  213.82, 232.74)
  (  213.82, 232.74)->(  214.16, 232.40)
  (  214.16, 232.40)->(  214.67, 232.22)
  (  214.67, 232.22)->(  215.02, 232.22)
  (  215.02, 232.22)->(  215.53, 232.40)
  (  215.53, 232.40)->(  215.70, 232.57)
  (  219.13, 235.82)->(  217.07, 235.82)
  (  218.10, 235.82)->(  218.10, 232.22)
  (  218.10, 232.22)->(  217.76, 232.74)
  (  217.76, 232.74)->(  217.42, 233.08)
  (  217.42, 233.08)->(  217.07, 233.25)
  (  237.60, 201.24)->(  252.00, 207.00)
  (  237.60, 204.12)->(  230.40, 204.12)
  (  252.00, 204.12)->(  259.20, 204.12)
  (  240.18, 203.93)->(  238.98, 202.22)
  (  238.12, 203.93)->(  238.12, 200.33)
  (  238.12, 200.33)->(  239.50, 200.33)
  (  239.50, 200.33)->(  239.84, 200.51)
  (  239.84, 200.51)->(  240.01, 200.68)
  (  240.01, 200.68)->(  240.18, 201.02)
  (  240.18, 201.02)->(  240.18, 201.53)
  (  240.18, 201.53)->(  240.01, 201.88)
  (  240.01, 201.88)->(  239.84, 202.05)
  (  239.84, 202.05)->(  239.50, 202.22)
  (  239.50, 202.22)->(  238.12, 202.22)
  (  241.38, 200.33)->(  243.78, 200.33)
  (  243.78, 200.33)->(  242.24, 203.93)
  (  240.01, 218.33)->(  237.95, 218.33)
  (  238.98, 218.33)->(  238.98, 214.73)
  (  238.98, 214.73)->(  238.64, 215.25)
  (  238.64, 215.25)->(  238.30, 215.59)
  (  238.30, 215.59)->(  237.95, 215.76)
  (  241.55, 218.33)->(  241.55, 214.73)
  (  243.61, 218.33)->(  242.07, 216.28)
  (  243.61, 214.73)->(  241.55, 216.79)
  (  245.32, 218.16)->(  245.32, 218.33)
  (  245.32, 218.33)->(  245.15, 218.68)
  (  245.15, 218.68)->(  244.98, 218.85)
  (  248.75, 218.33)->(  246.69, 218.33)
  (  247.72, 218.33)->(  247.72, 214.73)
  (  247.72, 214.73)->(  247.38, 215.25)
  (  247.38, 215.25)->(  247.04, 215.59)
  (  247.04, 215.59)->(  246.69, 215.76)
  (  250.12, 218.33)->(  252.86, 214.73)
  (  250.64, 214.73)->(  250.98, 214.91)
  (  250.98, 214.91)->(  251.15, 215.25)
  (  251.15, 215.25)->(  250.98, 215.59)
  (  250.98, 215.59)->(  250.64, 215.76)
  (  250.64, 215.76)->(  250.29, 215.59)
  (  250.29, 215.59)->(  250.12, 215.25)
  (  250.12, 215.25)->(  250.29, 214.91)
  (  250.29, 214.91)->(  250.64, 214.73)
  (  252.69, 218.16)->(  252.86, 217.82)
  (  252.86, 217.82)->(  252.69, 217.48)
  (  252.69, 217.48)->(  252.35, 217.31)
  (  252.35, 217.31)->(  252.01, 217.48)
  (  252.01, 217.48)->(  251.84, 217.82)
  (  251.84, 217.82)->(  252.01, 218.16)
  (  252.01, 218.16)->(  252.35, 218.33)
  (  252.35, 218.33)->(  252.69, 218.16)
  (  190.80, 110.52)->(  205.20, 121.32)
  (  198.00, 121.32)->(  198.00, 142.92)
  (  199.36, 116.78)->(  199.36, 118.83)
  (  199.36, 117.81)->(  195.76, 117.81)
  (  195.76, 117.81)->(  196.27, 118.15)
  (  196.27, 118.15)->(  196.62, 118.49)
  (  196.62, 118.49)->(  196.79, 118.83)
  (  196.19, 131.02)->(  196.19, 133.08)
  (  196.19, 132.05)->(  192.59, 132.05)
  (  192.59, 132.05)->(  193.11, 132.39)
  (  193.11, 132.39)->(  193.45, 132.73)
  (  193.45, 132.73)->(  193.62, 133.08)
  (  193.24, 112.05)->(  193.76, 112.22)
  (  193.76, 112.22)->(  193.93, 112.39)
  (  193.93, 112.39)->(  194.10, 112.73)
  (  194.10, 112.73)->(  194.10, 113.25)
  (  194.10, 113.25)->(  193.93, 113.59)
  (  193.93, 113.59)->(  193.76, 113.76)
  (  193.76, 113.76)->(  193.42, 113.93)
  (  193.42, 113.93)->(  192.04, 113.93)
  (  192.04, 113.93)->(  192.04, 110.33)
  (  192.04, 110.33)->(  193.24, 110.33)
  (  193.24, 110.33)->(  193.59, 110.51)
  (  193.59, 110.51)->(  193.76, 110.68)
  (  193.76, 110.68)->(  193.93, 111.02)
  (  193.93, 111.02)->(  193.93, 111.36)
  (  193.93, 111.36)->(  193.76, 111.71)
  (  193.76, 111.71)->(  193.59, 111.88)
  (  193.59, 111.88)->(  193.24, 112.05)
  (  193.24, 112.05)->(  192.04, 112.05)
  (  197.53, 113.93)->(  195.47, 113.93)
  (  196.50, 113.93)->(  196.50, 110.33)
  (  196.50, 110.33)->(  196.16, 110.85)
  (  196.16, 110.85)->(  195.82, 111.19)
  (  195.82, 111.19)->(  195.47, 111.36)
  (  198.73, 110.33)->(  200.96, 110.33)
  (  200.96, 110.33)->(  199.76, 111.71)
  (  199.76, 111.71)->(  200.27, 111.71)
  (  200.27, 111.71)->(  200.61, 111.88)
  (  200.61, 111.88)->(  200.79, 112.05)
  (  200.79, 112.05)->(  200.96, 112.39)
  (  200.96, 112.39)->(  200.96, 113.25)
  (  200.96, 113.25)->(  200.79, 113.59)
  (  200.79, 113.59)->(  200.61, 113.76)
  (  200.61, 113.76)->(  200.27, 113.93)
  (  200.27, 113.93)->(  199.24, 113.93)
  (  199.24, 113.93)->(  198.90, 113.76)
  (  198.90, 113.76)->(  198.73, 113.59)
  (  210.04, 124.73)->(  210.04, 121.13)
  (  210.04, 121.13)->(  210.90, 121.13)
  (  210.90, 121.13)->(  211.42, 121.31)
  (  211.42, 121.31)->(  211.76, 121.65)
  (  211.76, 121.65)->(  211.93, 121.99)
  (  211.93, 121.99)->(  212.10, 122.68)
  (  212.10, 122.68)->(  212.10, 123.19)
  (  212.10, 123.19)->(  211.93, 123.88)
  (  211.93, 123.88)->(  211.76, 124.22)
  (  211.76, 124.22)->(  211.42, 124.56)
  (  211.42, 124.56)->(  210.90, 124.73)
  (  210.90, 124.73)->(  210.04, 124.73)
  (  215.70, 124.39)->(  215.53, 124.56)
  (  215.53, 124.56)->(  215.02, 124.73)
  (  215.02, 124.73)->(  214.67, 124.73)
  (  214.67, 124.73)->(  214.16, 124.56)
  (  214.16, 124.56)->(  213.82, 124.22)
  (  213.82, 124.22)->(  213.64, 123.88)
  (  213.64, 123.88)->(  213.47, 123.19)
  (  213.47, 123.19)->(  213.47, 122.68)
  (  213.47, 122.68)->(  213.64, 121.99)
  (  213.64, 121.99)->(  213.82, 121.65)
  (  213.82, 121.65)->(  214.16, 121.31)
  (  214.16, 121.31)->(  214.67, 121.13)
  (  214.67, 121.13)->(  215.02, 121.13)
  (  215.02, 121.13)->(  215.53, 121.31)
  (  215.53, 121.31)->(  215.70, 121.48)
  (  219.13, 124.73)->(  217.07, 124.73)
  (  218.10, 124.73)->(  218.10, 121.13)
  (  218.10, 121.13)->(  217.76, 121.65)
  (  217.76, 121.65)->(  217.42, 121.99)
  (  217.42, 121.99)->(  217.07, 122.16)
  (  259.20, 204.12)->(  313.20, 204.12)
  (  198.00, 204.12)->(  230.40, 204.12)
  (  172.80, 204.12)->(  198.00, 204.12)
  (  230.40, 204.12)->(  230.40, 142.92)
  (  230.40, 142.92)->(  198.00, 142.92)
  (  198.00, 142.92)->(  172.80, 142.92)
  (  266.82, 220.87)->(  266.65, 221.04)
  (  266.65, 221.04)->(  266.14, 221.21)
  (  266.14, 221.21)->(  265.79, 221.21)
  (  265.79, 221.21)->(  265.28, 221.04)
  (  265.28, 221.04)->(  264.94, 220.70)
  (  264.94, 220.70)->(  264.76, 220.36)
  (  264.76, 220.36)->(  264.59, 219.67)
  (  264.59, 219.67)->(  264.59, 219.16)
  (  264.59, 219.16)->(  264.76, 218.47)
  (  264.76, 218.47)->(  264.94, 218.13)
  (  264.94, 218.13)->(  265.28, 217.79)
  (  265.28, 217.79)->(  265.79, 217.61)
  (  265.79, 217.61)->(  266.14, 217.61)
  (  266.14, 217.61)->(  266.65, 217.79)
  (  266.65, 217.79)->(  266.82, 217.96)
  (  269.91, 218.81)->(  269.91, 221.21)
  (  269.05, 217.44)->(  268.19, 220.01)
  (  268.19, 220.01)->(  270.42, 220.01)
  (  266.65, 228.41)->(  264.59, 228.41)
  (  265.62, 228.41)->(  265.62, 224.81)
  (  265.62, 224.81)->(  265.28, 225.33)
  (  265.28, 225.33)->(  264.94, 225.67)
  (  264.94, 225.67)->(  264.59, 225.84)
  (  268.88, 224.81)->(  269.22, 224.81)
  (  269.22, 224.81)->(  269.56, 224.99)
  (  269.56, 224.99)->(  269.73, 225.16)
  (  269.73, 225.16)->(  269.91, 225.50)
  (  269.91, 225.50)->(  270.08, 226.19)
  (  270.08, 227.04)->(  269.91, 227.73)
  (  269.91, 227.73)->(  269.73, 228.07)
  (  269.73, 228.07)->(  269.56, 228.24)
  (  269.56, 228.24)->(  269.22, 228.41)
  (  269.22, 228.41)->(  268.88, 228.41)
  (  268.88, 228.41)->(  268.53, 228.24)
  (  268.53, 228.24)->(  268.36, 228.07)
  (  268.36, 228.07)->(  268.19, 227.73)
  (  268.19, 227.73)->(  268.02, 227.04)
  (  268.02, 227.04)->(  268.02, 226.19)
  (  268.02, 226.19)->(  268.19, 225.50)
  (  268.19, 225.50)->(  268.36, 225.16)
  (  268.36, 225.16)->(  268.53, 224.99)
  (  268.53, 224.99)->(  268.88, 224.81)
  (  259.20, 214.92)->(  259.20, 222.12)
  (  259.20, 211.32)->(  259.20, 204.12)
  (  256.53, 238.05)->(  256.19, 237.88)
  (  256.19, 237.88)->(  255.67, 237.88)
  (  255.67, 237.88)->(  255.16, 238.05)
  (  255.16, 238.05)->(  254.81, 238.39)
  (  254.81, 238.39)->(  254.64, 238.74)
  (  254.64, 238.74)->(  254.47, 239.42)
  (  254.47, 239.42)->(  254.47, 239.94)
  (  254.47, 239.94)->(  254.64, 240.62)
  (  254.64, 240.62)->(  254.81, 240.97)
  (  254.81, 240.97)->(  255.16, 241.31)
  (  255.16, 241.31)->(  255.67, 241.48)
  (  255.67, 241.48)->(  256.01, 241.48)
  (  256.01, 241.48)->(  256.53, 241.31)
  (  256.53, 241.31)->(  256.70, 241.14)
  (  256.70, 241.14)->(  256.70, 239.94)
  (  256.70, 239.94)->(  256.01, 239.94)
  (  258.24, 241.48)->(  258.24, 237.88)
  (  258.24, 237.88)->(  260.30, 241.48)
  (  260.30, 241.48)->(  260.30, 237.88)
  (  262.01, 241.48)->(  262.01, 237.88)
  (  262.01, 237.88)->(  262.87, 237.88)
  (  262.87, 237.88)->(  263.38, 238.05)
  (  263.38, 238.05)->(  263.73, 238.39)
  (  263.73, 238.39)->(  263.90, 238.74)
  (  263.90, 238.74)->(  264.07, 239.42)
  (  264.07, 239.42)->(  264.07, 239.94)
  (  264.07, 239.94)->(  263.90, 240.62)
  (  263.90, 240.62)->(  263.73, 240.97)
  (  263.73, 240.97)->(  263.38, 241.31)
  (  263.38, 241.31)->(  262.87, 241.48)
  (  262.87, 241.48)->(  262.01, 241.48)
  (  240.18, 203.93)->(  238.98, 202.22)
  (  238.12, 203.93)->(  238.12, 200.33)
  (  238.12, 200.33)->(  239.50, 200.33)
  (  239.50, 200.33)->(  239.84, 200.51)
  (  239.84, 200.51)->(  240.01, 200.68)
  (  240.01, 200.68)->(  240.18, 201.02)
  (  240.18, 201.02)->(  240.18, 201.53)
  (  240.18, 201.53)->(  240.01, 201.88)
  (  240.01, 201.88)->(  239.84, 202.05)
  (  239.84, 202.05)->(  239.50, 202.22)
  (  239.50, 202.22)->(  238.12, 202.22)
  (  241.38, 200.33)->(  243.78, 200.33)
  (  243.78, 200.33)->(  242.24, 203.93)
  (  240.01, 218.33)->(  237.95, 218.33)
  (  238.98, 218.33)->(  238.98, 214.73)
  (  238.98, 214.73)->(  238.64, 215.25)
  (  238.64, 215.25)->(  238.30, 215.59)
  (  238.30, 215.59)->(  237.95, 215.76)
  (  241.55, 218.33)->(  241.55, 214.73)
  (  243.61, 218.33)->(  242.07, 216.28)
  (  243.61, 214.73)->(  241.55, 216.79)
  (  245.32, 218.16)->(  245.32, 218.33)
  (  245.32, 218.33)->(  245.15, 218.68)
  (  245.15, 218.68)->(  244.98, 218.85)
  (  248.75, 218.33)->(  246.69, 218.33)
  (  247.72, 218.33)->(  247.72, 214.73)
  (  247.72, 214.73)->(  247.38, 215.25)
  (  247.38, 215.25)->(  247.04, 215.59)
  (  247.04, 215.59)->(  246.69, 215.76)
  (  250.12, 218.33)->(  252.86, 214.73)
  (  250.64, 214.73)->(  250.98, 214.91)
  (  250.98, 214.91)->(  251.15, 215.25)
  (  251.15, 215.25)->(  250.98, 215.59)
  (  250.98, 215.59)->(  250.64, 215.76)
  (  250.64, 215.76)->(  250.29, 215.59)
  (  250.29, 215.59)->(  250.12, 215.25)
  (  250.12, 215.25)->(  250.29, 214.91)
  (  250.29, 214.91)->(  250.64, 214.73)
  (  252.69, 218.16)->(  252.86, 217.82)
  (  252.86, 217.82)->(  252.69, 217.48)
  (  252.69, 217.48)->(  252.35, 217.31)
  (  252.35, 217.31)->(  252.01, 217.48)
  (  252.01, 217.48)->(  251.84, 217.82)
  (  251.84, 217.82)->(  252.01, 218.16)
  (  252.01, 218.16)->(  252.35, 218.33)
  (  252.35, 218.33)->(  252.69, 218.16)
  (  237.60, 204.12)->(  230.40, 204.12)
  (  252.00, 204.12)->(  259.20, 204.12)
  (  165.60, 142.92)->(  172.80, 142.92)
  (  165.60, 204.12)->(  172.80, 204.12)
  (  257.90, 202.82)->(  260.50, 205.42)
  (  257.90, 202.82)->(  260.50, 205.42)
  (  257.90, 202.82)->(  260.50, 205.42)
  (  257.90, 202.82)->(  260.50, 205.42)
  (  229.10, 202.82)->(  231.70, 205.42)
  (  229.10, 202.82)->(  231.70, 205.42)
  (  229.10, 202.82)->(  231.70, 205.42)
  (  229.10, 202.82)->(  231.70, 205.42)
  (  196.70, 202.82)->(  199.30, 205.42)
  (  196.70, 202.82)->(  199.30, 205.42)
  (  196.70, 202.82)->(  199.30, 205.42)
  (  196.70, 202.82)->(  199.30, 205.42)
  (  196.70, 141.62)->(  199.30, 144.22)
  (  196.70, 141.62)->(  199.30, 144.22)
  (  196.70, 141.62)->(  199.30, 144.22)
  (  196.70, 141.62)->(  199.30, 144.22)
  共 430 条

=== 全页 B13/B14 文本 ===
  B14 @ bbox=[190.83, 238.91, 201.28, 244.22]
  B13 @ bbox=[190.83, 109.82, 201.28, 115.13]

=== 左上区网标/元件文本 (x150-320, y80-270) ===
  R1       @( 154.02, 141.28)
  0.2R     @( 156.59, 155.68)
  R6       @( 154.02, 202.47)
  0.2R     @( 156.59, 216.88)
  C4       @( 267.06, 219.75)
  104      @( 268.69, 226.96)
  GND      @( 258.91, 240.03)
  1        @( 197.91, 229.45)
  1        @( 194.74, 215.21)
  B14      @( 196.06, 241.56)
  DC1      @( 214.14, 234.37)
  R7       @( 240.42, 202.47)
  1K,1%    @( 245.05, 216.88)
  1        @( 197.91, 118.16)
  1        @( 194.74, 132.41)
  B13      @( 196.06, 112.47)
  DC1      @( 214.14, 123.28)
  CD       @( 288.00, 200.59)
  IO1      @( 299.38, 200.59)
  C4       @( 267.06, 219.75)
  104      @( 268.69, 226.96)
  GND      @( 258.91, 240.03)
  R7       @( 240.42, 202.47)
  1K,1%    @( 245.05, 216.88)
  R1       @( 154.02, 141.28)
  0.2R     @( 156.59, 155.68)
  R6       @( 154.02, 202.47)
  0.2R     @( 156.59, 216.88)
